id,user_id,product_id,gross_amount,discounts,transaction_date
TRX982144,SC9671081003006,1,2300.0,,2024-07-16
TRX982145,SC9671081003006,1,3400.0000000000005,,2024-01-28
TRX982146,SC9671081003006,1,3500.0,,2024-01-22
TRX982147,SC9671081003006,1,800.0,,2024-01-05
TRX982148,SC9671081003006,2,7200.0,,2024-02-29
TRX982149,SC9671081003006,2,30600.0,,2024-07-08
TRX982150,SC9671081003006,2,5800.0,,2024-12-02
TRX982151,SC9671081003006,2,26400.0,,2024-03-07
TRX982152,SC9671081003006,3,51000.0,,2024-03-23
TRX982153,SC9671081003006,3,159000.0,10000.0,2024-07-21
TRX982154,SC9671081003006,4,125800.0,,2024-10-21
TRX982155,SC9671081003006,4,347299.99999999994,,2024-01-12
TRX982156,SC9671081003006,4,261500.0,13700.000000000002,2024-08-21
TRX982157,SC9671081003006,4,45400.0,26300.0,2024-01-05
TRX982158,SC9671081003006,5,103300.0,,2024-11-09
TRX982159,SC9671081003006,5,116700.0,20000.0,2024-02-01
TRX982160,SC9671081003006,7,2300.0,,2024-03-13
TRX982161,SC9671081003006,7,6600.0,,2024-03-24
TRX982162,SC9671081003006,7,11100.000000000002,,2024-10-30
TRX982163,SC9671081003006,8,5800.0,,2024-04-22
TRX982164,SC9671081003006,8,13799.999999999998,,2024-03-08
TRX982165,SC9671081003006,8,400.0,400.0,2024-12-22
TRX982166,SC9671081003006,10,12500.0,,2024-01-03
TRX982167,SC9671081003006,10,57500.0,30000.0,2024-01-22
TRX982168,SC9671081003006,11,6600.0,,2024-07-28
TRX982169,SC9671081003006,11,16600.0,,2024-10-28
TRX982170,SC9671081003006,11,12200.0,,2024-10-30
TRX982171,SC9671081003006,11,4600.0,,2024-11-09
TRX982172,SC9671081003006,12,59400.00000000001,,2024-12-09
TRX982173,SC9671081003006,12,30600.0,,2024-05-22
TRX982174,SC9671081003006,14,249100.0,,2024-02-26
TRX982175,SC9671081003006,14,80900.0,10000.0,2024-07-26
TRX982176,SC9671081003006,15,1200.0,,2024-01-27
TRX982177,SC9671081003006,15,1500.0,,2024-10-28
TRX982178,SC9671081003006,15,20600.0,1300.0,2024-01-15
TRX982179,SC9671081003006,15,26700.0,8700.0,2024-05-28
TRX982180,SC9671081003006,16,10800.0,,2024-08-17
TRX982181,SC9671081003006,16,16500.0,,2024-06-05
TRX982182,SC9671081003006,16,22700.0,,2024-02-18
TRX982183,SC9671101001002,1,8300.0,,2024-10-26
TRX982184,SC9671101001002,1,23400.0,,2024-04-25
TRX982185,SC9671101001002,1,8300.0,,2024-04-04
TRX982186,SC9671101001002,2,56300.0,,2024-11-03
TRX982187,SC9671101001002,2,6899.999999999999,,2024-12-07
TRX982188,SC9671101001002,2,6800.000000000001,6800.000000000001,2024-01-13
TRX982189,SC9671101001002,3,56500.0,,2024-10-07
TRX982190,SC9671101001002,3,17400.0,,2024-07-23
TRX982191,SC9671101001002,3,26100.0,20000.0,2024-12-13
TRX982192,SC9671101001002,4,70800.0,,2024-07-23
TRX982193,SC9671101001002,4,329200.0,30000.0,2024-10-05
TRX982194,SC9671101001002,5,201900.0,,2024-06-20
TRX982195,SC9671101001002,5,240300.0,,2024-04-26
TRX982196,SC9671101001002,5,142400.0,14100.0,2024-07-03
TRX982197,SC9671101001002,5,35400.0,5900.0,2024-10-17
TRX982198,SC9671101001002,8,21100.0,,2024-01-10
TRX982199,SC9671101001002,8,59000.0,,2024-05-10
TRX982200,SC9671101001002,8,9900.0,9900.0,2024-11-20
TRX982201,SC9671101001002,10,4600.0,,2024-08-23
TRX982202,SC9671101001002,10,8800.0,,2024-10-20
TRX982203,SC9671101001002,10,6600.0,6600.0,2024-04-23
TRX982204,SC9671101001002,11,4200.0,,2024-06-17
TRX982205,SC9671101001002,11,500.0,,2024-05-18
TRX982206,SC9671101001002,11,3700.0,,2024-05-19
TRX982207,SC9671101001002,11,1600.0,,2024-07-20
TRX982208,SC9671101001002,12,43900.0,,2024-09-29
TRX982209,SC9671101001002,12,6100.0,,2024-11-21
TRX982210,SC9671101001002,14,6600.0,,2024-08-24
TRX982211,SC9671101001002,14,186400.0,,2024-10-18
TRX982212,SC9671101001002,14,49100.0,5699.999999999999,2024-02-26
TRX982213,SC9671101001002,14,17899.99999999998,4300.0,2024-12-05
TRX982214,SC9671101001002,15,5100.0,,2024-01-12
TRX982215,SC9671101001002,15,13300.0,,2024-06-12
TRX982216,SC9671101001002,15,17000.0,7100.0,2024-06-30
TRX982217,SC9671101001002,15,14600.0,2900.0,2024-05-27
TRX982218,SC9671101001002,16,8200.0,,2024-03-08
TRX982219,SC9671101001002,16,10900.0,,2024-05-20
TRX982220,SC9671101001002,16,900.0,,2024-11-11
TRX982221,SC9671101001002,17,26400.0,,2024-03-14
TRX982222,SC9671101001002,17,33600.0,,2024-05-30
TRX982223,SC9671091006006,1,20400.0,,2024-01-01
TRX982224,SC9671091006006,1,30299.999999999996,,2024-01-01
TRX982225,SC9671091006006,1,9299.999999999998,,2024-08-06
TRX982226,SC9671091006006,2,29500.0,,2024-09-09
TRX982227,SC9671091006006,2,100500.0,20000.0,2024-11-20
TRX982228,SC9671091006006,3,116300.00000000001,,2024-03-26
TRX982229,SC9671091006006,3,59600.0,,2024-12-01
TRX982230,SC9671091006006,3,154100.0,70000.0,2024-10-08
TRX982231,SC9671091006006,4,225300.0,,2024-08-10
TRX982232,SC9671091006006,4,136500.0,,2024-11-07
TRX982233,SC9671091006006,4,270200.0,22599.999999999996,2024-02-07
TRX982234,SC9671091006006,4,128000.0,17400.0,2024-10-20
TRX982235,SC9671091006006,5,185900.0,,2024-07-12
TRX982236,SC9671091006006,5,74100.0,,2024-01-18
TRX982237,SC9671091006006,6,5600.000000000001,,2024-07-08
TRX982238,SC9671091006006,6,10300.0,,2024-06-10
TRX982239,SC9671091006006,6,4100.0,,2024-01-21
TRX982240,SC9671091006006,8,1400.0000000000002,,2024-06-03
TRX982241,SC9671091006006,8,11800.0,,2024-01-28
TRX982242,SC9671091006006,8,16800.0,10000.0,2024-06-09
TRX982243,SC9671091006006,10,12600.0,,2024-04-16
TRX982244,SC9671091006006,10,12400.0,,2024-06-09
TRX982245,SC9671091006006,10,13000.0,,2024-11-16
TRX982246,SC9671091006006,10,12000.0,,2024-02-08
TRX982247,SC9671091006006,12,16800.0,,2024-04-09
TRX982248,SC9671091006006,12,8900.0,,2024-09-25
TRX982249,SC9671091006006,12,28100.0,7800.0,2024-07-27
TRX982250,SC9671091006006,12,36200.0,2200.0,2024-10-05
TRX982251,SC9671091006006,13,2500.0,,2024-02-21
TRX982252,SC9671091006006,13,4500.0,,2024-09-26
TRX982253,SC9671091006006,13,3000.0,,2024-02-22
TRX982254,SC9671091006006,14,33700.0,,2024-02-19
TRX982255,SC9671091006006,14,16100.000000000002,,2024-06-02
TRX982256,SC9671091006006,14,39500.0,,2024-02-25
TRX982257,SC9671091006006,14,40700.000000000015,,2024-02-24
TRX982258,SC9671091006006,15,7400.0,,2024-08-21
TRX982259,SC9671091006006,15,7800.0,,2024-05-29
TRX982260,SC9671091006006,15,4800.0,,2024-11-01
TRX982261,SC9671091006006,16,1000.0,,2024-03-01
TRX982262,SC9671091006006,16,9200.0,,2024-05-23
TRX982263,SC9671091006006,16,9800.0,,2024-11-30
TRX982264,SC9671091006009,1,19400.0,,2024-09-17
TRX982265,SC9671091006009,1,40599.99999999999,,2024-05-22
TRX982266,SC9671091006009,2,86400.0,,2024-11-09
TRX982267,SC9671091006009,2,73600.0,40000.0,2024-11-08
TRX982268,SC9671091006009,3,46800.0,,2024-02-16
TRX982269,SC9671091006009,3,28600.0,,2024-04-15
