id,user_id,product_id,gross_amount,discounts,transaction_date
TRX346871,SC9302032009001,1,422400.0,,2024-04-04
TRX346872,SC9302032009001,1,357600.0,,2024-02-12
TRX346873,SC9302032009001,2,28700.0,,2024-03-09
TRX346874,SC9302032009001,2,31300.0,,2024-06-01
TRX346875,SC9302032009001,3,11500.0,,2024-06-02
TRX346876,SC9302032009001,3,8500.0,,2024-08-11
TRX346877,SC9302032009001,4,26800.0,,2024-04-20
TRX346878,SC9302032009001,4,3200.0,,2024-03-24
TRX346879,SC9302032009001,8,1700.0000000000002,,2024-08-13
TRX346880,SC9302032009001,8,700.0000000000001,,2024-07-24
TRX346881,SC9302032009001,8,7600.0,,2024-07-01
TRX346882,SC9302032009001,12,10800.0,,2024-12-21
TRX346883,SC9302032009001,12,1700.0000000000002,,2024-06-12
TRX346884,SC9302032009001,12,10800.0,,2024-12-04
TRX346885,SC9302032009001,12,6699.999999999998,,2024-04-10
TRX346886,SC9302032009001,13,6800.000000000001,,2024-10-27
TRX346887,SC9302032009001,13,7000.0,,2024-10-22
TRX346888,SC9302032009001,13,5699.999999999999,,2024-05-10
TRX346889,SC9302032009001,13,500.000000000002,,2024-01-26
TRX346890,SC9302032009001,18,3000.0,,2024-02-29
TRX346891,SC9302032009001,18,7000.0,,2024-06-29
TRX346892,SC9302032004001,1,87400.0,,2024-10-28
TRX346893,SC9302032004001,1,135600.0,,2024-08-14
TRX346894,SC9302032004001,1,181700.00000000003,114700.0,2024-03-18
TRX346895,SC9302032004001,1,5300.0,5300.0,2024-06-08
TRX346896,SC9302032004001,2,34400.0,,2024-02-13
TRX346897,SC9302032004001,2,35000.0,,2024-09-02
TRX346898,SC9302032004001,2,60599.99999999999,40000.0,2024-09-20
TRX346899,SC9302032004001,3,113000.0,,2024-02-16
TRX346900,SC9302032004001,3,51200.0,,2024-11-17
TRX346901,SC9302032004001,3,5800.0,5800.0,2024-02-17
TRX346902,SC9302032004001,4,11299.999999999998,,2024-01-15
TRX346903,SC9302032004001,4,18000.0,,2024-11-02
TRX346904,SC9302032004001,4,140700.00000000003,70000.0,2024-03-06
TRX346905,SC9302032004001,5,46100.0,,2024-02-17
TRX346906,SC9302032004001,5,42000.0,,2024-06-04
TRX346907,SC9302032004001,5,10300.0,2000.0,2024-11-09
TRX346908,SC9302032004001,5,21600.0,8000.0,2024-08-31
TRX346909,SC9302032004001,6,4500.0,,2024-05-26
TRX346910,SC9302032004001,6,14300.0,,2024-07-14
TRX346911,SC9302032004001,6,6200.0,,2024-12-17
TRX346912,SC9302032004001,6,15000.0,,2024-12-31
TRX346913,SC9302032004001,7,2100.0,,2024-01-25
TRX346914,SC9302032004001,7,7900.0,,2024-10-29
TRX346915,SC9302032004001,8,94200.0,,2024-08-16
TRX346916,SC9302032004001,8,2700.0,,2024-08-31
TRX346917,SC9302032004001,8,25000.0,25000.0,2024-07-24
TRX346918,SC9302032004001,8,28100.0,28100.0,2024-05-11
TRX346919,SC9302032004001,9,24800.0,,2024-09-27
TRX346920,SC9302032004001,9,13500.0,,2024-03-29
TRX346921,SC9302032004001,9,10500.0,10500.0,2024-10-23
TRX346922,SC9302032004001,9,1200.000000000002,1200.000000000002,2024-01-28
TRX346923,SC9302032004001,10,2700.0,,2024-10-04
TRX346924,SC9302032004001,10,500.0,,2024-10-24
TRX346925,SC9302032004001,10,6800.000000000001,,2024-07-25
TRX346926,SC9302032004001,13,14700.0,,2024-06-12
TRX346927,SC9302032004001,13,20200.0,,2024-09-06
TRX346928,SC9302032004001,13,28600.0,28600.0,2024-09-22
TRX346929,SC9302032004001,13,6500.0,6500.0,2024-10-21
TRX346930,SC9302032004001,15,4700.0,,2024-03-30
TRX346931,SC9302032004001,15,14200.0,,2024-04-28
TRX346932,SC9302032004001,15,300.0,,2024-08-25
TRX346933,SC9302032004001,15,800.0,,2024-03-22
TRX346934,SC9302032004001,16,22400.000000000004,,2024-10-24
TRX346935,SC9302032004001,16,21100.0,,2024-11-29
TRX346936,SC9302032004001,16,56500.0,40000.0,2024-01-12
TRX346937,SC9302032004001,17,11200.000000000002,,2024-08-24
TRX346938,SC9302032004001,17,18800.0,,2024-11-12
TRX346939,SC9302032003001,1,37200.0,,2024-08-07
TRX346940,SC9302032003001,1,68500.0,,2024-08-03
TRX346941,SC9302032003001,1,104300.0,70000.0,2024-05-09
TRX346942,SC9302032003001,2,6700.0,,2024-06-23
TRX346943,SC9302032003001,2,32900.0,,2024-01-21
TRX346944,SC9302032003001,2,17500.0,17100.0,2024-07-11
TRX346945,SC9302032003001,2,2900.0,2900.0,2024-09-21
TRX346946,SC9302032003001,3,166200.0,,2024-01-20
TRX346947,SC9302032003001,3,16700.0,,2024-09-01
TRX346948,SC9302032003001,3,206200.0,81800.0,2024-03-05
TRX346949,SC9302032003001,3,160900.0,18200.0,2024-06-20
TRX346950,SC9302032003001,4,48700.0,,2024-04-10
TRX346951,SC9302032003001,4,91300.00000000001,20000.0,2024-04-26
TRX346952,SC9302032003001,5,26400.0,,2024-12-04
TRX346953,SC9302032003001,5,91199.99999999999,,2024-09-02
TRX346954,SC9302032003001,5,12400.0,12400.0,2024-09-08
TRX346955,SC9302032003001,6,7400.0,,2024-01-24
TRX346956,SC9302032003001,6,2600.0,,2024-09-21
TRX346957,SC9302032003001,7,2800.0000000000005,,2024-07-08
TRX346958,SC9302032003001,7,7200.0,,2024-02-20
TRX346959,SC9302032003001,8,93300.0,,2024-10-30
TRX346960,SC9302032003001,8,27200.000000000004,,2024-01-23
TRX346961,SC9302032003001,8,65600.0,26099.999999999985,2024-10-14
TRX346962,SC9302032003001,8,3900.000000000015,3900.000000000015,2024-03-06
TRX346963,SC9302032003001,9,28300.0,,2024-11-19
TRX346964,SC9302032003001,9,11700.0,10000.0,2024-09-28
TRX346965,SC9302032003001,10,4800.0,,2024-04-29
TRX346966,SC9302032003001,10,5200.0,,2024-04-19
TRX346967,SC9302032003001,13,3200.0,,2024-07-26
TRX346968,SC9302032003001,13,600.0,,2024-12-27
TRX346969,SC9302032003001,13,3000.0,,2024-04-14
