id,user_id,product_id,gross_amount,discounts,transaction_date
TRX668320,SC8104022023001,1,18500.0,,2024-10-16
TRX668321,SC8104022023001,1,120600.0,,2024-02-03
TRX668322,SC8104022023001,1,180900.0,30000.0,2024-02-06
TRX668323,SC8104022023001,2,100300.0,,2024-04-28
TRX668324,SC8104022023001,2,21600.0,,2024-04-14
TRX668325,SC8104022023001,2,19500.0,11500.0,2024-10-12
TRX668326,SC8104022023001,2,18600.00000000002,18500.0,2024-06-24
TRX668327,SC8104022023001,3,29800.0,,2024-04-29
TRX668328,SC8104022023001,3,45500.0,,2024-11-18
TRX668329,SC8104022023001,3,44700.00000000001,20000.0,2024-08-14
TRX668330,SC8104022023001,4,92800.0,,2024-10-29
TRX668331,SC8104022023001,4,77200.0,30000.0,2024-08-03
TRX668332,SC8104022023001,5,31900.0,,2024-12-07
TRX668333,SC8104022023001,5,68100.0,20000.0,2024-03-18
TRX668334,SC8104022023001,6,6400.0,,2024-06-11
TRX668335,SC8104022023001,6,1900.0,,2024-09-21
TRX668336,SC8104022023001,6,1700.0000000000002,,2024-06-17
TRX668337,SC8104022023001,8,26200.0,,2024-12-26
TRX668338,SC8104022023001,8,19900.0,,2024-01-07
TRX668339,SC8104022023001,8,67400.0,,2024-10-03
TRX668340,SC8104022023001,8,36499.99999999998,,2024-08-31
TRX668341,SC8104022023001,11,4400.0,,2024-10-05
TRX668342,SC8104022023001,11,8900.0,,2024-02-22
TRX668343,SC8104022023001,11,900.0,900.0,2024-10-21
TRX668344,SC8104022023001,11,5800.0,5800.0,2024-04-11
TRX668345,SC8104022023001,12,72300.0,,2024-01-04
TRX668346,SC8104022023001,12,132600.0,,2024-07-07
TRX668347,SC8104022023001,12,86900.0,21800.0,2024-07-23
TRX668348,SC8104022023001,12,18200.0,18200.0,2024-09-23
TRX668349,SC8104022023001,13,6300.0,,2024-09-09
TRX668350,SC8104022023001,13,10900.0,,2024-04-17
TRX668351,SC8104022023001,13,11500.0,,2024-01-02
TRX668352,SC8104022023001,13,1300.0,,2024-06-19
TRX668353,SC8104022023001,16,37300.0,,2024-09-20
TRX668354,SC8104022023001,16,31500.0,,2024-01-05
