id,user_id,product_id,gross_amount,discounts,transaction_date
TRX722042,SC9404152007902,1,41700.0,,2024-05-24
TRX722043,SC9404152007902,1,9300.0,,2024-04-11
TRX722044,SC9404152007902,1,27100.0,27100.0,2024-05-08
TRX722045,SC9404152007902,1,41900.000000000015,12900.0,2024-05-17
TRX722046,SC9404152007902,2,68200.0,,2024-01-13
TRX722047,SC9404152007902,2,47000.0,,2024-12-12
TRX722048,SC9404152007902,2,5800.0,5800.0,2024-02-25
TRX722049,SC9404152007902,2,89000.0,24200.0,2024-12-26
TRX722050,SC9404152007902,3,43800.0,,2024-09-24
TRX722051,SC9404152007902,3,66700.0,,2024-11-17
TRX722052,SC9404152007902,3,33500.0,33500.0,2024-05-27
TRX722053,SC9404152007902,3,46000.0,46000.0,2024-03-29
TRX722054,SC9404152007902,4,187800.0,,2024-07-09
TRX722055,SC9404152007902,4,19500.0,,2024-12-31
TRX722056,SC9404152007902,4,52699.99999999999,52699.99999999999,2024-12-10
TRX722057,SC9404152007902,5,10500.0,,2024-05-08
TRX722058,SC9404152007902,5,41000.0,,2024-11-10
TRX722059,SC9404152007902,5,38500.0,38500.0,2024-04-25
TRX722060,SC9404152007902,6,1000.0,,2024-02-28
TRX722061,SC9404152007902,6,4400.0,,2024-04-24
TRX722062,SC9404152007902,6,4600.0,,2024-02-17
TRX722063,SC9404152007902,8,4200.0,,2024-06-24
TRX722064,SC9404152007902,8,5800.0,,2024-08-18
TRX722065,SC9404152007902,10,63800.0,,2024-03-03
TRX722066,SC9404152007902,10,46200.0,10000.0,2024-04-01
TRX722067,SC9404152007902,11,6600.0,,2024-04-19
TRX722068,SC9404152007902,11,3400.0000000000005,,2024-08-27
TRX722069,SC9404152007902,12,39900.0,,2024-08-09
TRX722070,SC9404152007902,12,290100.0,20000.0,2024-05-15
TRX722071,SC9404152007902,15,15200.0,,2024-10-07
TRX722072,SC9404152007902,15,33800.0,,2024-03-22
TRX722073,SC9404152007902,15,61000.0,61000.0,2024-02-16
TRX722074,SC9404011012004,1,37300.0,,2024-04-26
TRX722075,SC9404011012004,1,72700.0,10000.0,2024-06-27
TRX722076,SC9404011012004,2,338800.0,,2024-06-12
TRX722077,SC9404011012004,2,281200.0,40000.0,2024-09-21
TRX722078,SC9404011012004,3,65700.0,,2024-10-17
TRX722079,SC9404011012004,3,132000.0,,2024-07-18
TRX722080,SC9404011012004,3,32300.000000000022,32300.000000000022,2024-07-16
TRX722081,SC9404011012004,4,526200.0,,2024-05-18
TRX722082,SC9404011012004,4,123800.00000000001,90000.0,2024-09-25
TRX722083,SC9404011012004,5,9200.0,,2024-04-18
TRX722084,SC9404011012004,5,15700.0,,2024-07-09
TRX722085,SC9404011012004,5,15100.0,10000.0,2024-10-19
TRX722086,SC9404011012004,6,15400.0,,2024-09-17
TRX722087,SC9404011012004,6,34600.0,,2024-01-30
TRX722088,SC9404011012004,7,4100.0,,2024-03-13
TRX722089,SC9404011012004,7,23300.0,,2024-12-13
TRX722090,SC9404011012004,7,27500.0,19900.0,2024-03-25
TRX722091,SC9404011012004,7,15100.0,10100.0,2024-01-02
TRX722092,SC9404011012004,8,19300.0,,2024-11-23
TRX722093,SC9404011012004,8,98300.0,,2024-11-06
TRX722094,SC9404011012004,8,102400.0,10000.0,2024-11-10
TRX722095,SC9404011012004,10,3700.0,,2024-11-29
TRX722096,SC9404011012004,10,99700.0,,2024-09-28
TRX722097,SC9404011012004,10,36600.0,10000.0,2024-09-05
TRX722098,SC9404011012004,11,2800.0000000000005,,2024-09-13
TRX722099,SC9404011012004,11,7200.0,,2024-01-12
TRX722100,SC9404011012004,12,1900.0,,2024-05-11
TRX722101,SC9404011012004,12,2000.0,,2024-12-26
TRX722102,SC9404011012004,12,2600.0,,2024-01-15
TRX722103,SC9404011012004,12,3500.0,,2024-01-12
TRX722104,SC9404011012004,14,31500.0,,2024-08-18
TRX722105,SC9404011012004,14,11000.0,,2024-02-02
TRX722106,SC9404011012004,14,20400.0,15200.0,2024-03-20
TRX722107,SC9404011012004,14,17100.0,4800.0,2024-01-09
TRX722108,SC9404011012004,15,152400.0,,2024-11-13
TRX722109,SC9404011012004,15,186500.0,,2024-03-06
TRX722110,SC9404011012004,15,101100.0,101100.0,2024-01-26
TRX722111,SC9404011012004,16,29500.0,,2024-01-26
TRX722112,SC9404011012004,16,50500.0,10000.0,2024-03-05
TRX722113,SC9404011012004,17,4600.0,,2024-06-23
TRX722114,SC9404011012004,17,5400.0,,2024-04-14
TRX722115,SC9404011012004,18,2400.0,,2024-12-01
TRX722116,SC9404011012004,18,2900.0,,2024-05-16
TRX722117,SC9404011012004,18,7200.0,4900.0,2024-05-03
TRX722118,SC9404011012004,18,7500.0,5100.0,2024-09-13
TRX722119,SC9404011012010,1,4500.0,,2024-05-10
TRX722120,SC9404011012010,1,22900.0,,2024-10-14
TRX722121,SC9404011012010,1,12599.999999999998,,2024-02-07
TRX722122,SC9404011012010,2,97300.0,,2024-03-31
TRX722123,SC9404011012010,2,41500.0,,2024-03-17
TRX722124,SC9404011012010,2,81199.99999999999,20000.0,2024-09-15
TRX722125,SC9404011012010,3,33000.0,,2024-05-29
TRX722126,SC9404011012010,3,5800.0,,2024-10-08
TRX722127,SC9404011012010,3,31200.0,10000.0,2024-05-18
TRX722128,SC9404011012010,4,244800.0,,2024-05-06
TRX722129,SC9404011012010,4,5200.0,5200.0,2024-02-18
TRX722130,SC9404011012010,7,400.0,,2024-02-05
TRX722131,SC9404011012010,7,16800.0,,2024-07-17
TRX722132,SC9404011012010,7,82800.0,20000.0,2024-03-08
TRX722133,SC9404011012010,8,7200.0,,2024-02-28
TRX722134,SC9404011012010,8,13799.999999999998,,2024-03-21
TRX722135,SC9404011012010,8,9000.000000000005,,2024-08-11
TRX722136,SC9404011012010,9,3300.0,,2024-12-23
TRX722137,SC9404011012010,9,200.0,,2024-11-03
TRX722138,SC9404011012010,9,2800.0000000000005,,2024-12-06
TRX722139,SC9404011012010,9,3700.0,,2024-05-07
TRX722140,SC9404011012010,10,1100.0,,2024-07-11
TRX722141,SC9404011012010,10,7800.0,,2024-05-18
