id,user_id,product_id,gross_amount,discounts,transaction_date
TRX867013,SC9901010001011,1,5000.0,,2024-06-04
TRX867014,SC9901010001011,1,34100.0,,2024-07-01
TRX867015,SC9901010001011,1,34700.0,34700.0,2024-12-08
TRX867016,SC9901010001011,1,36200.0,15300.000000000002,2024-06-24
TRX867017,SC9901010001011,2,100600.0,,2024-08-08
TRX867018,SC9901010001011,2,20700.0,,2024-04-01
TRX867019,SC9901010001011,2,38700.0,38700.0,2024-07-08
TRX867020,SC9901010001011,3,55900.0,,2024-12-01
TRX867021,SC9901010001011,3,94100.0,10000.0,2024-09-02
TRX867022,SC9901010001011,4,13500.0,,2024-07-08
TRX867023,SC9901010001011,4,18000.0,,2024-08-28
TRX867024,SC9901010001011,4,,,2024-08-30
TRX867025,SC9901010001011,4,28500.0,10000.0,2024-11-20
TRX867026,SC9901010001011,5,91100.0,,2024-02-29
TRX867027,SC9901010001011,5,98900.0,98900.0,2024-05-27
TRX867028,SC9901010001011,8,1433700.0,,2024-10-27
TRX867029,SC9901010001011,8,396300.0,370000.0,2024-08-24
TRX867030,SC9901010001011,10,2500.0,,2024-02-14
TRX867031,SC9901010001011,10,2900.0,,2024-12-15
TRX867032,SC9901010001011,10,1800.0,,2024-08-19
TRX867033,SC9901010001011,10,2800.0000000000005,,2024-01-08
TRX867034,SC9901010001011,12,113000.0,,2024-03-16
TRX867035,SC9901010001011,12,37000.0,37000.0,2024-02-17
TRX867036,SC9901010001011,13,4100.0,,2024-01-15
TRX867037,SC9901010001011,13,15900.0,10000.0,2024-07-08
TRX867038,SC9901010001011,14,9400.0,,2024-05-10
TRX867039,SC9901010001011,14,26100.0,,2024-01-21
TRX867040,SC9901010001011,14,24500.0,24500.0,2024-02-04
TRX867041,SC9901010001011,15,90200.0,,2024-12-12
TRX867042,SC9901010001011,15,39800.0,10000.0,2024-11-09
TRX867043,SC9901010001011,17,60199.99999999999,,2024-08-22
TRX867044,SC9901010001011,17,10000.0,,2024-09-30
TRX867045,SC9901010001011,17,9800.0,9800.0,2024-08-05
TRX867046,SC9901010001011,18,18400.0,,2024-09-26
TRX867047,SC9901010001011,18,20900.0,,2024-12-17
TRX867048,SC9901010001011,18,20700.0,20000.0,2024-11-10
TRX867049,SC9901010001013,1,43099.99999999999,,2024-10-12
TRX867050,SC9901010001013,1,36900.0,36900.0,2024-09-06
TRX867051,SC9901010001013,2,71300.0,,2024-04-16
TRX867052,SC9901010001013,2,148700.0,148700.0,2024-08-20
TRX867053,SC9901010001013,3,125399.99999999999,,2024-02-18
TRX867054,SC9901010001013,3,94600.00000000001,94600.00000000001,2024-07-26
TRX867055,SC9901010001013,4,72500.0,,2024-11-30
TRX867056,SC9901010001013,4,7500.0,7500.0,2024-04-24
