id,user_id,product_id,gross_amount,discounts,transaction_date
TRX757542,SC9203132001001,1,3200.0,,2024-06-21
TRX757543,SC9203132001001,1,196800.0,60000.0,2024-10-03
TRX757544,SC9203132001001,2,108500.0,,2024-08-24
TRX757545,SC9203132001001,2,34700.0,,2024-02-02
TRX757546,SC9203132001001,2,16800.0,16800.0,2024-03-09
TRX757547,SC9203132001001,3,2000.0,,2024-11-03
TRX757548,SC9203132001001,3,18200.0,,2024-08-29
TRX757549,SC9203132001001,3,16900.0,,2024-04-10
TRX757550,SC9203132001001,3,2900.0,,2024-05-26
TRX757551,SC9203132001001,4,113800.00000000001,,2024-06-18
TRX757552,SC9203132001001,4,386200.0,20000.0,2024-06-16
TRX757553,SC9203132001001,5,18400.0,,2024-02-22
TRX757554,SC9203132001001,5,6600.0,,2024-01-14
TRX757555,SC9203132001001,5,45000.0,10000.0,2024-06-15
TRX757556,SC9203132001001,6,6100.0,,2024-02-15
TRX757557,SC9203132001001,6,33900.0,10000.0,2024-06-23
TRX757558,SC9203132001001,7,7800.0,,2024-01-12
TRX757559,SC9203132001001,7,7800.0,,2024-04-15
TRX757560,SC9203132001001,7,4000.0,,2024-05-11
TRX757561,SC9203132001001,7,400.0,,2024-10-30
TRX757562,SC9203132001001,8,27799.999999999996,,2024-12-12
TRX757563,SC9203132001001,8,101000.0,,2024-03-05
TRX757564,SC9203132001001,8,144800.0,,2024-10-27
TRX757565,SC9203132001001,8,166400.0,,2024-12-03
TRX757566,SC9203132001001,10,23100.0,,2024-07-09
TRX757567,SC9203132001001,10,16900.0,,2024-11-08
TRX757568,SC9203132001001,11,6500.0,,2024-12-01
TRX757569,SC9203132001001,11,3500.0,,2024-07-11
TRX757570,SC9203132001001,14,3400.0000000000005,,2024-08-22
TRX757571,SC9203132001001,14,900.0,,2024-08-17
TRX757572,SC9203132001001,14,200.0,,2024-07-22
TRX757573,SC9203132001001,14,5499.999999999998,,2024-09-12
TRX757574,SC9203132001001,15,5200.0,,2024-04-21
TRX757575,SC9203132001001,15,4800.0,,2024-09-25
TRX757576,SC9203132001001,17,200.0,,2024-02-17
TRX757577,SC9203132001001,17,400.0,,2024-04-27
TRX757578,SC9203132001001,17,9400.0,,2024-04-11
TRX757579,SC9203132004001,1,62400.0,,2024-02-02
TRX757580,SC9203132004001,1,69600.0,,2024-06-18
TRX757581,SC9203132004001,1,86500.0,38500.000000000015,2024-10-08
TRX757582,SC9203132004001,1,21499.99999999998,21499.99999999998,2024-07-12
TRX757583,SC9203132004001,2,190300.0,,2024-06-23
TRX757584,SC9203132004001,2,49700.0,49700.0,2024-06-03
TRX757585,SC9203132004001,3,57100.0,,2024-04-24
TRX757586,SC9203132004001,3,32900.0,10000.0,2024-09-20
TRX757587,SC9203132004001,4,291000.0,,2024-12-12
TRX757588,SC9203132004001,4,329000.0,,2024-09-11
TRX757589,SC9203132004001,5,9000.0,,2024-09-02
TRX757590,SC9203132004001,5,5200.0,,2024-11-12
TRX757591,SC9203132004001,5,4600.0,4600.0,2024-04-23
TRX757592,SC9203132004001,5,11200.000000000002,5400.0,2024-11-19
TRX757593,SC9203132004001,6,4900.0,,2024-11-26
TRX757594,SC9203132004001,6,15100.0,,2024-06-25
TRX757595,SC9203132004001,8,49300.0,,2024-09-23
TRX757596,SC9203132004001,8,10200.0,,2024-01-09
TRX757597,SC9203132004001,8,10500.000000000007,,2024-06-10
TRX757598,SC9203132004001,11,12200.0,,2024-03-27
TRX757599,SC9203132004001,11,6700.0,,2024-08-11
TRX757600,SC9203132004001,11,11100.000000000002,,2024-03-17
TRX757601,SC9203132004001,12,4400.0,,2024-04-24
TRX757602,SC9203132004001,12,5600.000000000001,,2024-08-27
TRX757603,SC9203132004001,13,7100.0,,2024-02-24
TRX757604,SC9203132004001,13,3300.0,,2024-08-22
TRX757605,SC9203132004001,13,1800.0,1800.0,2024-02-11
TRX757606,SC9203132004001,13,7800.000000000003,7800.000000000003,2024-06-18
TRX757607,SC9203132004001,14,180700.0,,2024-02-19
TRX757608,SC9203132004001,14,51500.0,,2024-09-17
TRX757609,SC9203132004001,14,27799.999999999996,20000.0,2024-02-24
TRX757610,SC9203132004001,15,11200.000000000002,,2024-04-10
TRX757611,SC9203132004001,15,6200.0,,2024-07-22
