id,user_id,product_id,gross_amount,discounts,transaction_date
TRX413109,SC6501102001001,1,9400.0,,2024-02-09
TRX413110,SC6501102001001,1,11399.999999999998,,2024-07-07
TRX413111,SC6501102001001,1,9200.0,9200.0,2024-06-12
TRX413112,SC6501102001001,2,108600.0,,2024-01-06
TRX413113,SC6501102001001,2,135900.0,,2024-02-15
TRX413114,SC6501102001001,2,53099.99999999999,20200.0,2024-12-18
TRX413115,SC6501102001001,2,122400.0,29800.0,2024-05-07
TRX413116,SC6501102001001,3,15800.0,,2024-12-03
TRX413117,SC6501102001001,3,148200.0,,2024-09-16
TRX413118,SC6501102001001,3,336000.0,50000.0,2024-05-04
TRX413119,SC6501102001001,4,28400.0,,2024-01-27
TRX413120,SC6501102001001,4,111600.0,10000.0,2024-03-20
TRX413121,SC6501102001001,5,16299.999999999998,,2024-10-29
TRX413122,SC6501102001001,5,61900.00000000001,,2024-07-18
TRX413123,SC6501102001001,5,41800.0,10000.0,2024-01-26
TRX413124,SC6501102001001,6,500.0,,2024-03-07
TRX413125,SC6501102001001,6,2900.0,,2024-06-29
TRX413126,SC6501102001001,6,16600.0,,2024-05-13
TRX413127,SC6501102001001,7,9400.0,,2024-02-16
TRX413128,SC6501102001001,7,20600.0,20000.0,2024-05-29
TRX413129,SC6501102001001,8,3900.0,,2024-02-22
TRX413130,SC6501102001001,8,6100.0,,2024-05-24
TRX413131,SC6501102001001,10,40000.0,,2024-03-04
TRX413132,SC6501102001001,10,30000.0,,2024-10-24
TRX413133,SC6501102001001,11,6100.0,,2024-07-16
TRX413134,SC6501102001001,11,3900.0,,2024-07-09
TRX413135,SC6501102001001,12,11600.0,,2024-06-06
TRX413136,SC6501102001001,12,18400.0,,2024-12-31
TRX413137,SC6501102001001,13,4500.0,,2024-06-07
TRX413138,SC6501102001001,13,5500.0,,2024-11-09
TRX413139,SC6501102001001,14,439300.0,,2024-01-27
TRX413140,SC6501102001001,14,285700.0,,2024-02-14
TRX413141,SC6501102001001,14,35000.0,30000.0,2024-03-17
TRX413142,SC6501102001001,15,1500.0,,2024-02-01
TRX413143,SC6501102001001,15,3600.0,,2024-02-16
TRX413144,SC6501102001001,15,4000.0,,2024-09-27
TRX413145,SC6501102001001,15,900.0,,2024-01-23
TRX413146,SC6501102001002,1,14300.0,,2024-02-21
TRX413147,SC6501102001002,1,33100.0,,2024-09-10
